Time,NodeId,CWND
1.08576,403,536
1.12657,400,536
1.12879,402,536
1.1437,403,1072
1.17345,406,536
1.19983,405,536
1.20178,408,536
1.20309,403,2144
1.22573,401,536
1.23361,404,536
1.24106,402,1072
1.25539,400,1072
1.26122,407,536
1.26297,403,2680
1.2647,403,3752
1.29174,406,1072
1.32077,403,4824
1.3246,403,5896
1.32593,408,1072
1.32791,403,6968
1.35281,405,1072
1.35582,402,2144
1.37857,403,8040
1.38174,403,9112
1.38567,400,2144
1.38586,403,9648
1.39075,403,10720
1.3909,403,11792
1.39738,403,12864
1.39752,403,13936
1.41259,406,2144
1.43196,404,1072
1.43796,403,15008
1.44113,403,16080
1.44429,403,17152
1.44765,403,18224
1.44911,401,1072
1.45112,403,18760
1.45158,408,2144
1.45429,403,19296
1.45555,407,1072
1.46062,403,19832
1.46235,403,20904
1.4625,403,21976
1.46264,403,23048
1.46554,403,23584
1.47143,402,2680
1.47421,402,3752
1.47678,403,24656
1.47692,403,25728
1.47707,403,26800
1.47721,403,27872
1.49734,403,28944
1.50051,403,30016
1.50368,403,31088
1.50685,403,32160
1.50841,405,2144
1.51031,403,33232
1.51318,403,34304
1.51635,403,35376
1.51636,400,2680
1.51845,400,3752
1.51952,403,36448
1.52318,403,36984
1.52634,403,37520
1.53124,403,38592
1.53446,406,2680
1.53755,406,3752
1.54406,403,39664
1.54564,403,40200
1.54737,403,41272
1.54751,403,42344
1.54766,403,43416
1.5478,403,44488
1.54795,403,45560
1.55004,403,46632
1.55531,403,47168
1.57432,403,47704
1.57605,403,48776
1.57619,403,49848
1.57634,403,50920
1.57648,403,51992
1.57663,403,53064
1.57677,403,54136
1.57692,403,55208
1.57784,408,2680
1.57899,403,56280
1.57964,408,3752
1.58216,403,57352
1.58346,402,4824
1.58532,403,58424
1.58849,403,59496
1.58943,402,5896
1.59166,403,60568
1.59476,402,6968
1.59483,403,61640
1.59799,403,62712
1.60116,403,63784
1.60433,403,64856
1.6075,403,65928
1.61066,403,67000
1.61383,403,68072
1.617,403,69144
1.62017,403,70216
1.62439,403,71288
1.62652,403,72360
1.63005,403,73432
1.63351,403,73968
1.63385,404,2144
1.63524,403,75040
1.64027,403,75576
1.64041,403,76648
1.64315,403,77184
1.64504,400,4824
1.64914,400,5896
1.65181,407,2144
1.65208,406,4824
1.65313,400,6968
1.65438,403,78256
1.65452,403,79328
1.65611,403,79864
1.65625,403,80936
1.65798,403,82008
1.65905,403,83080
1.65944,406,5896
1.66222,403,84152
1.66405,405,2680
1.66537,406,6968
1.66538,403,85224
1.6672,405,3752
1.66855,403,86296
1.67172,403,87368
1.6752,401,2144
1.67529,403,88440
1.67808,403,89512
1.68122,403,90584
1.68439,403,91656
1.68756,403,92728
1.69124,403,93264
1.69441,403,93800
1.69568,402,8040
1.69599,403,94336
1.70059,402,9112
1.70184,408,4824
1.70591,408,5896
1.70678,402,9648
1.70936,408,6968
1.71466,402,10720
1.71489,402,11792
1.71514,403,95408
1.71673,403,95944
1.71687,403,97016
1.71702,403,98088
1.71716,403,99160
1.71731,403,100232
1.71745,403,101304
1.7176,403,102376
1.72025,403,103448
1.72342,403,104520
1.72533,402,12864
1.72556,402,13936
1.72658,403,105592
1.72975,403,106664
1.73292,403,107736
1.73609,403,108808
1.73926,403,109880
1.74242,403,110952
1.74559,403,112024
1.74876,403,113096
1.75193,403,114168
1.75509,403,115240
1.75857,403,116312
1.76297,403,117384
1.7646,403,118456
1.76776,403,119528
1.7701,406,8040
1.77371,400,8040
1.77538,406,9112
1.77693,400,9112
1.78059,400,9648
1.78248,406,9648
1.78649,400,10720
1.78667,400,11792
1.79123,406,10720
1.79149,406,11792
1.79448,400,12864
1.79465,400,13936
1.79944,403,120064
1.80308,406,12864
1.80334,406,13936
1.81026,402,15008
1.81548,402,16080
1.81676,405,4824
1.82046,402,17152
1.82284,405,5896
1.82556,402,18224
1.82585,408,8040
1.82887,405,6968
1.82915,408,9112
1.83112,403,120600
1.83133,402,18760
1.83306,408,9648
1.83629,404,2680
1.83643,402,19296
1.83816,408,10720
1.83831,408,11792
1.84054,404,3752
1.84506,408,12864
1.84522,408,13936
1.84663,402,19832
1.84824,407,2680
1.84941,402,20904
1.84965,402,21976
1.84988,402,23048
1.85057,407,3752
1.8545,402,23584
1.8636,403,121136
1.87258,402,24656
1.87281,402,25728
1.87305,402,26800
1.87328,402,27872
1.89076,406,15008
1.89623,406,16080
1.89703,403,120600
1.89839,403,120271
1.89998,403,120107
1.90125,401,3216
1.90156,403,119942
1.90314,403,119778
1.90356,406,17152
1.904,400,15008
1.90511,403,119613
1.90631,403,119449
1.90692,401,4288
1.90721,400,16080
1.90756,406,18224
1.91043,400,17152
1.91107,403,119284
1.91124,403,119119
1.9114,403,118955
1.91265,403,118790
1.91365,400,18224
1.91423,403,118626
1.91463,406,18760
1.91582,403,118461
1.91727,400,18760
1.91743,403,118297
1.91898,403,118132
1.9203,406,19296
1.92057,403,117968
1.92109,400,19296
1.92289,403,117803
1.92373,403,117638
1.92485,402,28944
1.92551,403,117474
1.9269,403,117309
1.92849,403,117145
1.92872,400,19832
1.93018,403,116980
1.93068,402,30016
1.93081,400,20904
1.93098,400,21976
1.93116,400,23048
1.93162,406,19832
1.93165,403,116816
1.93307,400,23584
1.93324,403,116651
1.93472,406,20904
1.93482,403,116486
1.93498,406,21976
1.93505,402,31088
1.93524,406,23048
1.9364,403,116322
1.93799,403,116157
1.93957,403,115993
1.94015,402,32160
1.94041,406,23584
1.94116,403,115828
1.94316,403,115664
1.94432,403,115499
1.94524,402,33232
1.94618,403,115335
1.9466,400,24656
1.94678,400,25728
1.94695,400,26800
1.94713,400,27872
1.94749,403,115170
1.94908,403,115005
1.95066,403,114841
1.9507,402,34304
1.9515,408,15008
1.95224,403,114676
1.95383,403,114512
1.9548,408,16080
1.95541,403,114347
1.95559,402,35376
1.95699,403,114183
1.9581,408,17152
1.95893,403,114018
1.96016,403,113853
1.96049,406,24656
1.96054,402,36448
1.96075,406,25728
1.96101,406,26800
1.96127,406,27872
1.9614,408,18224
1.96175,403,113689
1.96333,403,113524
1.96531,408,18760
1.96557,403,113360
1.96668,402,36984
1.96861,408,19296
1.9689,403,113195
1.96907,403,113031
1.96948,405,8040
1.96981,403,112866
1.97178,402,37520
1.97205,403,112702
1.97521,408,19832
1.97524,405,9112
1.97701,408,20904
1.97716,408,21976
1.97731,408,23048
1.97966,402,38592
1.98032,408,23584
1.98106,405,9648
1.98997,405,10720
1.99023,405,11792
1.99202,408,24656
1.99217,408,25728
1.99232,408,26800
1.99247,408,27872
1.99292,403,112537
1.99309,403,112372
1.99325,403,112208
1.99342,403,112043
1.99359,403,111879
1.99534,403,111714
1.9955,403,111550
1.99567,403,111385
1.99586,403,111220
1.99605,403,111056
1.99623,403,110355
1.99642,403,110191
1.99661,403,110026
1.9968,403,109862
1.99699,403,109697
1.99791,403,109533
1.99922,403,109368
2.0003,402,39664
2.0008,403,109203
2.00202,405,12864
2.00229,405,13936
2.00271,403,109039
2.00285,402,40200
2.00397,403,108874
2.00563,402,41272
2.00586,402,42344
2.00598,403,108710
2.0061,402,43416
2.00633,402,44488
2.00656,402,45560
2.00714,403,108545
2.00872,403,108381
2.00969,402,46632
2.01066,403,108216
2.01122,406,28944
2.01189,403,108052
2.01347,403,107887
2.01506,403,107722
2.01688,403,107558
2.01689,406,30016
2.01798,402,47168
2.01831,403,107393
2.01981,403,107229
2.02139,403,107064
2.02255,406,31088
2.02341,403,106900
2.02456,403,106735
2.02614,403,106570
2.02773,403,106406
2.02842,406,32160
2.03015,403,106241
2.03149,403,106077
2.03248,403,105912
2.03388,406,33232
2.03428,400,28944
2.03429,404,4824
2.03742,403,105748
2.0375,400,30016
2.03761,403,105583
2.0378,403,105419
2.03882,403,105254
2.03986,406,34304
2.04071,400,31088
2.04187,403,105089
2.04208,403,104925
2.04238,407,4824
2.04299,404,5896
2.04393,400,32160
2.0441,403,104760
2.04518,403,104060
2.04521,406,35376
2.04677,403,103168
2.047,407,5896
2.04715,400,33232
2.04835,403,102632
2.04858,402,47704
2.04993,403,102096
2.05037,400,34304
2.05088,406,36448
2.05114,404,6968
2.05136,402,48776
2.05145,407,6968
2.05159,402,49848
2.05183,402,50920
2.05193,403,101560
2.05206,402,51992
2.05229,402,53064
2.05253,402,54136
2.05276,402,55208
2.0531,403,101024
2.05359,400,35376
2.05477,403,100488
2.05659,403,99952
2.0568,400,36448
2.05685,402,56280
2.05785,403,99416
2.058,406,36984
2.05944,403,98880
2.06043,400,36984
2.06102,403,98344
2.06139,402,57352
2.0626,403,97808
2.06367,406,37520
2.06424,403,97272
2.06425,400,37520
2.06609,403,96736
2.06649,402,58424
2.06735,403,96200
2.06936,403,95664
2.07015,400,38592
2.07052,403,95128
2.07162,402,59496
2.07219,403,94592
2.07243,406,38592
2.07369,403,94056
2.07527,403,93520
2.07697,402,60568
2.07699,403,92984
2.07715,408,28944
2.07854,403,92448
2.08045,408,30016
2.08179,402,61640
2.08355,403,91912
2.08375,408,31088
2.08376,403,91376
2.08396,403,90840
2.08559,400,39664
2.08561,403,90304
2.0867,403,89768
2.08689,402,62712
2.08705,408,32160
2.0875,400,40200
2.08794,403,89232
2.08958,400,41272
2.08976,400,42344
2.08993,400,43416
2.08996,403,88696
2.09011,400,44488
2.09028,400,45560
2.09035,408,33232
2.09046,400,46632
2.09111,403,88160
2.09199,402,63784
2.09339,403,87624
2.09365,408,34304
2.09428,403,87088
2.09534,406,39664
2.09586,403,86552
2.09618,400,47168
2.09712,402,64856
2.09731,408,35376
2.09745,403,86016
2.09903,403,85480
2.10026,408,36448
2.10086,403,84944
2.10231,402,65928
2.10249,403,84408
2.10416,408,36984
2.10729,402,67000
2.10746,408,37520
2.10951,406,40200
2.11239,402,68072
2.11257,408,38592
2.1126,406,41272
2.11286,406,42344
2.11312,406,43416
2.11337,406,44488
2.11363,406,45560
2.11389,406,46632
2.11772,402,69144
2.11908,400,47704
2.12117,400,48776
2.12134,400,49848
2.12152,400,50920
2.12169,400,51992
2.12187,400,53064
2.12204,400,54136
2.12222,400,55208
2.12239,406,47168
2.1229,402,70216
2.12508,405,15008
2.12592,408,39664
2.12757,408,40200
2.12769,402,71288
2.12937,408,41272
2.12952,408,42344
2.12967,408,43416
2.12983,408,44488
2.12998,408,45560
2.13084,405,16080
2.13207,408,46632
2.13279,402,72360
2.13661,405,17152
2.13763,408,47168
2.13789,402,73432
2.14237,405,18224
2.14617,402,73968
2.14818,405,18760
2.15394,405,19296
2.15406,402,75040
2.15664,406,47704
2.15743,408,47704
2.15922,403,83872
2.15924,408,48776
2.15939,408,49848
2.15954,408,50920
2.15969,408,51992
2.15973,406,48776
2.15984,408,53064
2.15999,406,49848
2.15999,408,54136
2.16014,408,55208
2.16025,406,50920
2.16051,406,51992
2.16077,406,53064
2.16103,406,54136
2.16129,406,55208
2.16295,400,56280
2.16547,405,19832
2.16617,400,57352
2.16681,402,75576
2.16862,405,20904
2.16888,405,21976
2.16914,405,23048
2.16939,400,58424
2.16959,402,76648
2.17214,402,77184
2.17261,400,59496
2.17439,405,23584
2.17583,400,60568
2.17904,400,61640
2.18047,406,56280
2.18226,400,62712
2.18548,400,63784
2.18617,406,57352
2.1887,400,64856
2.19171,406,58424
2.19192,400,65928
2.19483,405,24656
2.19509,405,25728
2.19535,405,26800
2.19539,400,67000
2.19562,405,27872
2.19714,406,59496
2.19835,400,68072
2.20115,408,56280
2.20198,400,69144
2.20281,406,60568
2.20445,408,57352
2.20479,400,70216
2.20481,403,83336
2.20492,401,5360
2.20775,408,58424
2.2084,400,71288
2.20847,406,61640
2.21062,402,78256
2.21086,402,79328
2.21105,408,59496
2.21122,400,72360
2.21341,402,79864
2.21422,406,62712
2.21435,408,60568
2.21444,400,73432
2.21619,402,80936
2.21733,401,6432
2.21766,408,61640
2.22006,406,63784
2.22028,400,73968
2.22096,408,62712
2.22152,402,82008
2.22176,402,83080
2.22199,402,84152
2.22222,402,85224
2.22246,402,86296
2.22269,402,87368
2.22276,401,7504
2.22292,402,88440
2.22316,402,89512
2.22339,402,90584
2.22426,408,63784
2.22547,406,64856
2.22599,402,91656
2.22618,400,75040
2.22756,408,64856
2.22843,401,8576
2.23086,408,65928
2.23109,402,92728
2.23143,406,65928
2.23228,404,8040
2.2343,408,67000
2.23572,400,75576
2.23651,407,8040
2.23705,406,67000
2.2374,402,93264
2.23746,408,68072
2.23781,400,76648
2.23971,400,77184
2.23998,403,82800
2.24007,404,9112
2.24076,408,69144
2.24086,407,9112
2.24246,406,68072
2.24406,408,70216
2.24523,407,9648
2.24687,403,84688
2.24708,403,84408
2.24736,408,71288
2.2476,402,93800
2.24813,406,69144
2.24842,404,9648
2.25066,408,72360
2.25181,407,10720
2.25201,407,11792
2.2527,402,94336
2.25397,408,73432
2.25448,406,70216
2.25945,406,71288
2.25953,408,73968
2.26046,404,10720
2.26072,407,12864
2.26081,404,11792
2.26091,407,13936
2.26463,408,75040
2.26541,406,72360
2.26852,400,78256
2.26869,400,79328
2.2706,400,79864
2.27078,406,73432
2.27268,400,80936
2.27288,408,75576
2.27468,408,76648
2.27633,408,77184
2.27668,400,82008
2.27685,400,83080
2.27695,404,12864
2.27703,400,84152
2.2772,400,85224
2.27731,404,13936
2.27737,400,86296
2.27755,400,87368
2.27772,400,88440
2.2779,400,89512
2.27807,400,90584
2.27825,400,91656
2.27842,400,92728
2.28033,400,93264
2.28067,405,28944
2.28072,406,73968
2.28644,405,30016
2.28797,400,93800
2.28947,406,75040
2.29178,400,94336
2.2922,405,31088
2.29797,405,32160
2.30124,408,78256
2.30139,408,79328
2.30304,408,79864
2.30363,406,75576
2.30373,405,33232
2.30484,408,80936
2.30673,406,76648
2.3083,408,82008
2.30845,408,83080
2.3086,408,84152
2.30875,408,85224
2.3089,408,86296
2.30905,408,87368
2.3092,408,88440
2.30935,408,89512
2.3095,405,34304
2.3095,408,90584
2.30956,406,77184
2.31099,408,91656
2.31158,402,95408
2.31413,402,95944
2.31429,408,92728
2.31526,405,35376
2.31692,402,97016
2.31715,402,98088
2.31738,402,99160
2.31762,402,100232
2.31785,402,101304
2.31808,402,102376
2.3182,408,93264
2.31832,402,103448
2.31855,402,104520
2.31878,402,105592
2.31902,402,106664
2.31925,402,107736
2.31948,402,108808
2.31972,402,109880
2.31995,402,110952
2.32103,405,36448
2.32285,403,84688
2.32452,402,112024
2.3248,408,93800
2.32683,405,36984
2.3281,408,94336
2.32979,402,113096
2.3326,405,37520
2.33497,402,114168
2.33586,400,95408
2.33776,400,95944
2.33985,400,97016
2.34002,400,98088
2.3402,400,99160
2.3402,402,115240
2.34037,400,100232
2.34055,400,101304
2.34072,400,102376
2.3409,400,103448
2.34107,400,104520
2.34124,400,105592
2.34142,400,106664
2.34151,405,38592
2.34159,400,107736
2.34177,400,108808
2.34194,400,109880
2.34212,400,110952
2.34229,400,112024
2.34247,400,113096
2.34264,400,114168
2.34282,400,115240
2.34492,402,116312
2.34508,400,116312
2.34551,403,76648
2.34829,400,117384
2.35038,402,117384
2.35151,400,118456
2.3523,406,78256
2.35256,406,79328
2.35473,400,119528
2.35513,402,118456
2.3554,406,79864
2.35795,400,120600
2.35849,406,80936
2.36031,402,119528
2.36117,400,121672
2.36438,400,122744
2.36441,406,82008
2.36467,406,83080
2.36483,405,39664
2.36493,406,84152
2.36519,406,85224
2.36545,406,86296
2.36571,406,87368
2.36597,406,88440
2.36621,408,95408
2.36623,406,89512
2.36648,406,90584
2.3676,400,123816
2.36771,405,40200
2.36786,408,95944
2.36885,406,91656
2.36966,408,97016
2.36982,408,98088
2.36997,408,99160
2.37012,408,100232
2.37027,408,101304
2.37042,408,102376
2.37057,408,103448
2.37072,408,104520
2.37082,400,124888
2.37086,405,41272
2.37087,408,105592
2.37102,408,106664
2.37112,405,42344
2.37117,408,107736
2.37133,408,108808
2.37138,405,43416
2.37148,408,109880
2.37163,408,110952
2.37165,405,44488
2.37191,405,45560
2.37404,400,125960
2.37468,406,92728
2.37476,408,112024
2.37658,405,46632
2.37726,400,127032
2.37806,408,113096
2.38047,400,128104
2.38136,408,114168
2.38141,406,93264
2.38369,400,129176
2.38466,408,115240
2.38527,405,47168
2.38691,400,130248
2.38796,408,116312
2.39013,400,131320
2.39126,408,117384
2.39273,406,93800
2.39335,400,132392
2.39456,408,118456
2.3964,403,62712
2.39656,400,133464
2.39787,408,119528
2.3984,406,94336
2.40017,400,134536
2.40117,408,120600
2.403,400,135608
2.40447,408,121672
2.4066,400,136680
2.40777,408,122744
2.40944,400,137752
2.41107,408,123816
2.41127,402,118992
2.41265,400,138824
2.41382,402,118664
2.41437,408,124888
2.41587,400,139896
2.41637,402,118499
2.41767,408,125960
2.41896,402,118335
2.41909,400,140968
2.41986,405,47704
2.42097,408,127032
2.4218,402,118171
2.42301,405,48776
2.42308,400,142040
2.42327,405,49848
2.42353,405,50920
2.4238,405,51992
2.42406,405,53064
2.4242,402,118006
2.42427,408,128104
2.42433,405,54136
2.42459,405,55208
2.42553,400,143112
2.42657,402,117842
2.42757,408,129176
2.42874,400,144184
2.42912,402,117678
2.43124,408,130248
2.43167,402,117513
2.43196,400,145256
2.43277,407,15008
2.43339,405,56280
2.43417,404,15008
2.43417,408,131320
2.43437,402,117349
2.43518,400,146328
2.43677,402,117184
2.43734,403,51456
2.43746,407,16080
2.43748,408,132392
2.43901,400,146864
2.43915,405,57352
2.43932,402,117020
2.44078,408,133464
2.44129,407,17152
2.44196,404,16080
2.44229,402,116856
2.44408,408,134536
2.44442,402,116691
2.44492,405,58424
2.44555,407,18224
2.44664,400,147400
2.44738,408,135608
2.44747,402,116527
2.44952,402,116363
2.44975,404,17152
2.44997,407,18760
2.45046,400,147936
2.45068,408,136680
2.45068,405,59496
2.45207,402,116198
2.45398,408,137752
2.45423,407,19296
2.45496,402,116034
2.45645,405,60568
2.45717,402,115869
2.45728,408,138824
2.45754,404,18224
2.45809,400,148472
2.45972,402,115705
2.46018,400,149544
2.46058,408,139896
2.46209,400,150080
2.46221,405,61640
2.46227,402,115541
2.46275,407,19832
2.4638,406,95408
2.46388,408,140968
2.46482,402,115376
2.46507,407,20904
2.46527,407,21976
2.46546,407,23048
2.46588,404,18760
2.46664,406,95944
2.46718,408,142040
2.46764,402,115212
2.46798,405,62712
2.46937,407,23584
2.46973,406,97016
2.46999,406,98088
2.47004,402,115048
2.47025,406,99160
2.47048,408,143112
2.47051,406,100232
2.47077,406,101304
2.47102,406,102376
2.47128,406,103448
2.47154,406,104520
2.47287,402,114883
2.47367,404,19296
2.47374,405,63784
2.47379,408,144184
2.47502,402,114719
2.47709,408,145256
2.47735,400,150616
2.47744,403,84688
2.47757,402,114554
2.47944,400,151688
2.47951,405,64856
2.48039,408,146328
2.48044,402,114390
2.48267,402,114226
2.48313,406,105592
2.48343,400,152760
2.4836,400,153832
2.4843,408,146864
2.48447,407,24656
2.48466,407,25728
2.48486,407,26800
2.48505,407,27872
2.48522,402,114061
2.48527,405,65928
2.48777,402,113897
2.48827,403,84152
2.48892,403,83815
2.48925,404,19832
2.48933,400,154368
2.49033,403,83647
2.4909,408,147400
2.49103,405,67000
2.49192,403,83478
2.4935,404,20904
2.4935,403,83310
2.49386,404,21976
2.4942,408,147936
2.49421,404,23048
2.49472,406,106664
2.49498,406,107736
2.49508,403,83141
2.49524,406,108808
2.4955,406,109880
2.49576,406,110952
2.49602,406,112024
2.49628,406,113096
2.49667,403,82972
2.4968,405,68072
2.49864,403,82804
2.49884,402,113733
2.49984,403,82635
2.5008,408,148472
2.5013,404,23584
2.50142,403,82467
2.50256,405,69144
2.5026,408,149544
2.5033,403,82298
2.50421,402,113568
2.50426,408,150080
2.50459,403,82129
